id;class_shape;num_faces;num_vertices;type_shape;barycenter;distance from barycenter to the origin;bounding_box_points;extent_length;extent_x;extent_y;extent_z;max_length;bounding box volume;major angle;second angle
61;Airplane;10796;5400;triangles;[-0.00016048 -0.00021791 -0.00020142];0,000337357;"[[-0.47466201 -0.97523898 -0.211997  ]
 [ 0.60201001 -0.97523898 -0.211997  ]
 [-0.47466201  0.98970902 -0.211997  ]
 [-0.47466201 -0.97523898  0.119239  ]
 [ 0.60201001  0.98970902  0.119239  ]
 [-0.47466201  0.98970902  0.119239  ]
 [ 0.60201001 -0.97523898  0.119239  ]
 [ 0.60201001  0.98970902 -0.211997  ]]";[1.07667202 1.964948   0.331236  ];1,076672018;1,964947999;0,331236005;1,964947999;0,700764391;0,001982718;0,002078517
62;Airplane;11234;5619;triangles;[-2.18294331e-04 -2.51828026e-04 -4.99715731e-05];0,000336997;"[[-0.80097997 -0.153854   -0.93096101]
 [ 0.81147802 -0.153854   -0.93096101]
 [-0.80097997  0.29155701 -0.93096101]
 [-0.80097997 -0.153854    0.99852598]
 [ 0.81147802  0.29155701  0.99852598]
 [-0.80097997  0.29155701  0.99852598]
 [ 0.81147802 -0.153854    0.99852598]
 [ 0.81147802  0.29155701 -0.93096101]]";[1.61245799 0.44541101 1.92948699];1,612457991;0,445411012;1,92948699;1,92948699;1,385770184;-0,000799436;0,001365705
63;Airplane;11034;5519;triangles;[-2.29533792e-04 -2.62140887e-04 -7.67440412e-05];0,000356782;"[[-0.99471599 -0.124181   -0.84537101]
 [ 0.99978602 -0.124181   -0.84537101]
 [-0.99471599  0.27794799 -0.84537101]
 [-0.99471599 -0.124181    0.85272801]
 [ 0.99978602  0.27794799  0.85272801]
 [-0.99471599  0.27794799  0.85272801]
 [ 0.99978602 -0.124181    0.85272801]
 [ 0.99978602  0.27794799 -0.84537101]]";[1.99450201 0.40212899 1.69809902];1,994502008;0,402128994;1,698099017;1,994502008;1,36195537;-0,00075785;-0,000256797
64;Airplane;13590;6797;triangles;[-0.00018046 -0.00015623 -0.00013815];0,000275784;"[[-0.76821101 -0.83962202 -0.14594799]
 [ 0.77170497 -0.83962202 -0.14594799]
 [-0.76821101  0.99999899 -0.14594799]
 [-0.76821101 -0.83962202  0.34488699]
 [ 0.77170497  0.99999899  0.34488699]
 [-0.76821101  0.99999899  0.34488699]
 [ 0.77170497 -0.83962202  0.34488699]
 [ 0.77170497  0.99999899 -0.14594799]]";[1.53991598 1.83962101 0.49083498];1,539915979;1,839621007;0,490834981;1,839621007;1,390467661;-0,001316794;-0,001343172
65;Airplane;12892;6448;triangles;[-0.00010315 -0.00016404 -0.0001409 ];0,000239589;"[[-0.999663   -0.85610199 -0.148949  ]
 [ 0.69450301 -0.85610199 -0.148949  ]
 [-0.999663    0.86812001 -0.148949  ]
 [-0.999663   -0.85610199  0.213338  ]
 [ 0.69450301  0.86812001  0.213338  ]
 [-0.999663    0.86812001  0.213338  ]
 [ 0.69450301 -0.85610199  0.213338  ]
 [ 0.69450301  0.86812001 -0.148949  ]]";[1.694166 1.724222 0.362287];1,694166005;1,724222004;0,362287;1,724222004;1,058283187;0,9996925;-0,999692606
66;Airplane;15474;7739;triangles;[-5.38356706e-05 -1.32384557e-04 -1.17515038e-04];0,000185024;"[[-0.99682301 -0.73800302 -0.10352   ]
 [ 0.68618202 -0.73800302 -0.10352   ]
 [-0.99682301  0.73818803 -0.10352   ]
 [-0.99682301 -0.73800302  0.21936999]
 [ 0.68618202  0.73818803  0.21936999]
 [-0.99682301  0.73818803  0.21936999]
 [ 0.68618202 -0.73800302  0.21936999]
 [ 0.68618202  0.73818803 -0.10352   ]]";[1.68300503 1.47619104 0.32288999];1,683005035;1,476191044;0,322889991;1,683005035;0,802199828;0,999219166;-0,999220378
67;Airplane;15298;7651;triangles;[-5.98913893e-05 -1.39977211e-04 -1.19510291e-04];0,000193554;"[[-0.99839097 -0.81234097 -0.108847  ]
 [ 0.76922899 -0.81234097 -0.108847  ]
 [-0.99839097  0.81213802 -0.108847  ]
 [-0.99839097 -0.81234097  0.361909  ]
 [ 0.76922899  0.81213802  0.361909  ]
 [-0.99839097  0.81213802  0.361909  ]
 [ 0.76922899 -0.81234097  0.361909  ]
 [ 0.76922899  0.81213802 -0.108847  ]]";[1.76761997 1.624479   0.470756  ];1,767619967;1,624478996;0,470756002;1,767619967;1,35175774;0,999012687;-0,999014638
68;Airplane;11162;5583;triangles;[-2.91270004e-04 -4.58218566e-05 -1.64176078e-04];0,000337478;"[[-0.848046   -0.87846601 -0.098027  ]
 [ 0.55745697 -0.87846601 -0.098027  ]
 [-0.848046    0.89659202 -0.098027  ]
 [-0.848046   -0.87846601  0.300253  ]
 [ 0.55745697  0.89659202  0.300253  ]
 [-0.848046    0.89659202  0.300253  ]
 [ 0.55745697 -0.87846601  0.300253  ]
 [ 0.55745697  0.89659202 -0.098027  ]]";[1.40550297 1.77505803 0.39828   ];1,405502975;1,775058031;0,398280002;1,775058031;0,993648602;-0,125307932;-0,125362217
69;Airplane;13398;6701;triangles;[-7.78190471e-05 -1.69419303e-04 -1.51117707e-04];0,00023999;"[[-0.61922801 -0.94339103 -0.109835  ]
 [ 0.80114901 -0.94339103 -0.109835  ]
 [-0.61922801  0.95531398 -0.109835  ]
 [-0.61922801 -0.94339103  0.267849  ]
 [ 0.80114901  0.95531398  0.267849  ]
 [-0.61922801  0.95531398  0.267849  ]
 [ 0.80114901 -0.94339103  0.267849  ]
 [ 0.80114901  0.95531398 -0.109835  ]]";[1.42037702 1.89870501 0.377684  ];1,420377016;1,898705006;0,377683997;1,898705006;1,018567266;-0,040355358;-0,040617913
70;Airplane;11258;5631;triangles;[-0.00012243 -0.00022318 -0.00018624];0,000315405;"[[-0.62754703 -0.98559302 -0.172914  ]
 [ 0.56033099 -0.98559302 -0.172914  ]
 [-0.62754703  0.99884599 -0.172914  ]
 [-0.62754703 -0.98559302  0.24910501]
 [ 0.56033099  0.99884599  0.24910501]
 [-0.62754703  0.99884599  0.24910501]
 [ 0.56033099 -0.98559302  0.24910501]
 [ 0.56033099  0.99884599 -0.172914  ]]";[1.18787801 1.98443902 0.422019  ];1,187878013;1,984439015;0,422019005;1,984439015;0,994813361;-0,000808161;-0,000788389
